Year,Country Code,Refugees,Asylum-seekers,Other people in need of international protection,Stateless persons,Others of concern,PoC_total
2019,-,20414669,4148141,3582202,4217774,3857179,36219965
2020,-,20661846,4184926,3862102,4179331,3939756,36827961
2021,-,21327285,4616135,4406432,4338192,4223095,38911139
2022,-,29429078,5442319,5217456,4428314,6008804,50525971
2023,-,31637408,6858499,5755363,4358188,5945550,54555008
2024,-,30958200,8352712,5875359,4360087,3820662,53367020
2025,-,30490994,8414659,6064217,4431462,2426293,51827625
