Country Code,Year,Governance2
AFG,1996,-2.41730952262878
ALB,1996,-0.336625128984451
DZA,1996,-1.78331053256989
ASM,1996,..
AND,1996,1.16952216625214
AGO,1996,-2.06191730499268
AIA,1996,..
ATG,1996,0.717076897621155
ARG,1996,0.111376881599426
ARM,1996,-0.364998608827591
ABW,1996,..
AUS,1996,1.39611268043518
AUT,1996,1.41046285629272
AZE,1996,-0.828929543495178
BHS,1996,1.07101774215698
BHR,1996,-0.307817906141281
BGD,1996,-0.548815250396729
BRB,1996,1.05037176609039
BLR,1996,0.0937392041087151
BEL,1996,1.28849947452545
BLZ,1996,0.559152126312256
BEN,1996,1.05037176609039
BMU,1996,0.717076897621155
BTN,1996,0.724004507064819
BOL,1996,-0.134768322110176
BIH,1996,-0.594427824020386
BWA,1996,1.01524519920349
BRA,1996,-0.220460131764412
BRN,1996,1.23704397678375
BGR,1996,-0.0910280793905258
BFA,1996,-0.300746202468872
BDI,1996,-2.11674880981445
CPV,1996,1.03555142879486
KHM,1996,-1.10455310344696
CMR,1996,-0.956391930580139
CAN,1996,1.23405170440674
CYM,1996,0.717076897621155
CAF,1996,-1.21172964572906
TCD,1996,-0.99860155582428
CHL,1996,0.676454544067383
CHN,1996,-0.0978488251566887
COL,1996,-1.64785850048065
COM,1996,0.507538914680481
COD,1996,-2.68281292915344
COG,1996,-1.22494494915009
COK,1996,..
CRI,1996,0.753051400184631
CIV,1996,0.0334169194102287
HRV,1996,-0.0383590497076511
CUB,1996,0.231270432472229
CYP,1996,0.387751519680023
CZE,1996,1.14775800704956
DNK,1996,1.44196474552155
DJI,1996,-0.339192003011703
DMA,1996,0.717076897621155
DOM,1996,-0.0756602957844734
ECU,1996,-0.770033240318298
EGY,1996,-0.526031970977783
SLV,1996,-0.215370371937752
GNQ,1996,-0.131352260708809
ERI,1996,-0.936975657939911
EST,1996,0.767924547195435
SWZ,1996,-0.206821382045746
ETH,1996,-1.05474293231964
FJI,1996,0.830568552017212
FIN,1996,1.41271877288818
FRA,1996,0.887499451637268
GUF,1996,0.038409136235714
GAB,1996,0.125683024525642
GMB,1996,0.559609055519104
GEO,1996,-1.57057857513428
DEU,1996,1.28849947452545
GHA,1996,-0.234503835439682
GRC,1996,0.553863883018494
GRL,1996,..
GRD,1996,0.91466349363327
GUM,1996,..
GTM,1996,-1.01341414451599
GIN,1996,-1.15093290805817
GNB,1996,-1.54001665115356
GUY,1996,-0.266413539648056
HTI,1996,-0.756698846817017
HND,1996,-0.470392346382141
HKG,1996,0.576565086841583
HUN,1996,1.00668895244598
ISL,1996,1.32520198822021
IND,1996,-0.972584128379822
IDN,1996,-1.13137912750244
IRN,1996,-0.324623703956604
IRQ,1996,-1.81737661361694
IRL,1996,1.34345364570618
ISR,1996,-1.15118622779846
ITA,1996,1.11038541793823
JAM,1996,0.110229268670082
JPN,1996,1.16188979148865
JEY,1996,..
JOR,1996,-0.0449785143136978
KAZ,1996,-0.367461204528809
KEN,1996,-0.656428635120392
KIR,1996,..
PRK,1996,-0.505626380443573
KOR,1996,0.566771447658539
XKX,1996,..
KWT,1996,0.170835971832275
KGZ,1996,-0.17433962225914
LAO,1996,0.371830761432648
LVA,1996,0.561403095722198
LBN,1996,-0.668952643871307
LSO,1996,0.232784986495972
LBR,1996,-2.43946290016174
LBY,1996,-0.988058924674988
LIE,1996,1.16952216625214
LTU,1996,0.524631857872009
LUX,1996,1.38130235671997
MAC,1996,0.264631718397141
MDG,1996,0.217267140746117
MWI,1996,-0.456720739603043
MYS,1996,0.57122015953064
MDV,1996,0.882181823253632
MLI,1996,0.365160435438156
MLT,1996,1.32520198822021
MHL,1996,..
MTQ,1996,0.264631718397141
MRT,1996,0.36849319934845
MUS,1996,1.08937561511993
MEX,1996,-0.925459146499634
FSM,1996,..
MDA,1996,0.0112921837717295
MCO,1996,..
MNG,1996,0.747216463088989
MNE,1996,..
MAR,1996,-0.209069982171059
MOZ,1996,-0.0499914959073067
MMR,1996,-1.25880205631256
NAM,1996,0.854371190071106
NRU,1996,..
NPL,1996,-0.0711131766438484
NLD,1996,1.52612578868866
ANT,1996,..
NZL,1996,1.34199249744415
NIC,1996,-0.517743170261383
NER,1996,0.0261458475142717
NGA,1996,-1.05690824985504
NIU,1996,..
MKD,1996,-0.480376541614532
NOR,1996,1.45682156085968
OMN,1996,0.873983323574066
PAK,1996,-1.12732779979706
PLW,1996,..
PAN,1996,0.123815298080444
PNG,1996,-0.775006890296936
PRY,1996,-0.459796816110611
PER,1996,-1.06168437004089
PHL,1996,-0.481185793876648
POL,1996,0.83064466714859
PRT,1996,1.28603911399841
PRI,1996,0.264631718397141
QAT,1996,0.361694604158401
REU,1996,..
ROU,1996,0.597966730594635
RUS,1996,-1.17785394191742
RWA,1996,-1.8453323841095
WSM,1996,1.32178819179535
SMR,1996,..
STP,1996,1.05037176609039
SAU,1996,-0.189457833766937
SEN,1996,-0.601866662502289
SRB,1996,-1.03471982479095
SYC,1996,1.05037176609039
SLE,1996,-1.69709753990173
SGP,1996,1.115647315979
SVK,1996,0.878931701183319
SVN,1996,1.31172633171082
SLB,1996,1.03555142879486
SOM,1996,-2.50936651229858
ZAF,1996,-0.379187554121017
SSD,1996,..
ESP,1996,0.17475751042366
LKA,1996,-1.77829897403717
KNA,1996,..
LCA,1996,1.03555142879486
VCT,1996,1.03555142879486
SDN,1996,-2.47953200340271
SUR,1996,0.440209209918976
SWE,1996,1.45682156085968
CHE,1996,1.45682156085968
SYR,1996,-0.347959876060486
TWN,1996,1.056969165802
